Status,Campaign Name,Type,Start Date,End Date,Budget,Spend,Impressions,Clicks,Average CPC,Detail Page View,Total Sales,ACoS
"Ended","ACR Prod May 2018 (3) Product","Product Display","2018/05/04","2018/07/03","300","0.00",-,-,-,-,-,-
"Ended","ACR Prod May 2018 (4) Interest","Product Display","2018/05/04","2018/07/03","300","0.00","0","0",-,"0","0.00",-
"Ended","OtW Prod May 2018 (9) Product","Product Display","2018/05/09","2018/07/09","300","0.00","1","0",-,-,-,-
"Ended","OtW Product May 2018 (10) Interest","Product Display","2018/05/09","2018/07/09","300","0.00","1","0",-,"0","0.00",-
"Ended","ACR Prod May 2018 (11) Product","Product Display","2018/05/11","2018/07/10","300","0.18","10","1","0.18","1","0.00",-
"Ended","ACR Prod May 2018 (12) Product","Product Display","2018/05/11","2018/07/10","300","0.00",-,-,-,-,-,-
"Ended","ACR Prod May 2018 (13) Product","Product Display","2018/05/11","2018/07/10","300","0.00","11","0",-,"0","0.00",-
"Ended","ACR Prod May 2018 (14) Product","Product Display","2018/05/11","2018/07/10","300","0.00","277","0",-,-,-,-
"Ended","ACR Prod May 2018 (15)","Product Display","2018/05/11","2018/07/10","300","0.45","424","3","0.15","5","5.99","7.51%"
"Ended","ACR Prod May 2018 (16) Interest","Product Display","2018/05/11","2018/07/10","300","0.65","987","4","0.16","4","0.00",-
"Ended","ACR Prod May 2018 (17) Interest","Product Display","2018/05/11","2018/07/10","300","0.07","18","1","0.07","1","0.00",-
"Ended","ACR Prod May 2018 (18) Interest","Product Display","2018/05/11","2018/07/10","300","0.15","7","1","0.15","1","0.00",-
"Ended","OtW Prod May 2018 (21) Product","Product Display","2018/05/11","2018/07/11","300","0.55","1,319","8","0.07","24","0.00",-
"Ended","OtW Product May 2018 (22) Interest","Product Display","2018/05/11","2018/07/11","300","0.00","16","0",-,"0","0.00",-
"Ended","ACR Prod May 2018 (25)","Product Display","2018/05/21","2018/07/20","600","0.00","5","0",-,-,-,-
"Running","ACR Prod June 2018 (3) Prod","Product Display","2018/06/02","2018/08/01","600","0.00",-,-,-,-,-,-
"Running","ACR Prod June 2018 (4) Product","Product Display","2018/06/02","2018/08/01","600","0.00",-,-,-,-,-,-
"Running","ACR Prod June 2018 (6) Prod","Product Display","2018/06/11","2018/08/10","300","0.16","79","1","0.16","2","0.00",-
